Games,Year,Country,Type,Events,Athletes,Cost,CostInBillions
Tokyo,1964,Japan,Summer,163,5151,282000000,0.282
Innsbruck,1964,Austria,Winter,34,1091,22000000,0.022
Mexico City,1968,Mexico,Summer,172,5516,176000000,0.176
Grenoble,1968,France,Winter,35,1158,888000000,0.888
Munich,1972,Germany,Summer,195,7134,1009000000,1.009
Sapporo,1972,Japan,Winter,35,1006,117000000,0.117
Montreal,1976,Canada,Summer,198,6084,6093000000,6.093
Innsbruck,1976,Austria,Winter,37,1123,118000000,0.118
Moscow,1980,Soviet Union,Summer,203,5179,6331000000,6.331
Lake Placid,1980,United States,Winter,38,1072,435000000,0.435
Los Angeles,1984,United States,Summer,221,6829,719000000,0.719
Sarajevo,1984,Yugoslavia,Winter,39,1272,110900000,0.1109
Seoul,1988,South Korea,Summer,237,8397,518000000,0.518
Calgary,1988,Canada,Winter,46,1423,1109000000,1.109
Barcelona,1992,Spain,Summer,257,9356,9687000000,9.687
Albertville,1992,France,Winter,57,1801,1997000000,1.997
Lillehammer,1994,Norway,Winter,61,1737,2228000000,2.228
Atlanta,1996,United States,Summer,271,10318,4143000000,4.143
Nagano,1998,Japan,Winter,68,2176,2227000000,2.227
Sydney,2000,Australia,Summer,300,10651,5026000000,5.026
Salt Lake City,2002,United States,Winter,78,2399,2520000000,2.52
Athens,2004,Greece,Summer,301,10625,2942000000,2.942
Turin,2006,Italy,Winter,84,2508,4366000000,4.366
Beijing,2008,China,Summer,302,10942,6810000000,6.81
Vancouver,2010,Canada,Winter,86,2566,2540000000,2.54
London,2012,United Kingdom,Summer,302,10568,14957000000,14.957
Sochi,2014,Russia,Winter,98,2780,21890000000,21.89
Rio,2016,Brazil,Summer,306,11238,4557000000,4.557
Pyeongchang,2018,South Korea,Winter,102,2833,12900000000,12.9
Tokyo,2020,Japan,Summer,339,11420,13000000000,13
Beijing,2022,China,Winter,109,2834,38500000000,38.5
